# Image: fd1440-minix.img (1474560 bytes)
# RunResult: {"executed":107917,"reason":"halt-spin-exhausted"}
# Counts: {"instruction":107916,"int":314,"trap":311,"io":981,"memWrite":1072,"intService":1}

## Section 1: Final IDT state (read from memory after boot)
Vector | Offset | Segment | Linear
   a3   |  10a3  |  f000   | f10a3
   a4   |  10a4  |  f000   | f10a4
   a5   |  10a5  |  f000   | f10a5
   a6   |  10a6  |  f000   | f10a6
   a7   |  10a7  |  f000   | f10a7
   a8   |  10a8  |  f000   | f10a8
   a9   |  10a9  |  f000   | f10a9
   aa   |  10aa  |  f000   | f10aa
   ab   |  10ab  |  f000   | f10ab
   ac   |  10ac  |  f000   | f10ac
   ad   |  10ad  |  f000   | f10ad
   ae   |  10ae  |  f000   | f10ae
   af   |  10af  |  f000   | f10af
   b0   |  10b0  |  f000   | f10b0
   b1   |  10b1  |  f000   | f10b1
   b2   |  10b2  |  f000   | f10b2
   b3   |  10b3  |  f000   | f10b3
   b4   |  10b4  |  f000   | f10b4
   b5   |  10b5  |  f000   | f10b5
   b6   |  10b6  |  f000   | f10b6
   b7   |  10b7  |  f000   | f10b7
   b8   |  10b8  |  f000   | f10b8
   b9   |  10b9  |  f000   | f10b9
   ba   |  10ba  |  f000   | f10ba
   bb   |  10bb  |  f000   | f10bb
   bc   |  10bc  |  f000   | f10bc
   bd   |  10bd  |  f000   | f10bd
   be   |  10be  |  f000   | f10be
   bf   |  10bf  |  f000   | f10bf
   c0   |  10c0  |  f000   | f10c0
   c1   |  10c1  |  f000   | f10c1
   c2   |  10c2  |  f000   | f10c2
   c3   |  10c3  |  f000   | f10c3
   c4   |  10c4  |  f000   | f10c4
   c5   |  10c5  |  f000   | f10c5
   c6   |  10c6  |  f000   | f10c6
   c7   |  10c7  |  f000   | f10c7
   c8   |  10c8  |  f000   | f10c8
   c9   |  10c9  |  f000   | f10c9
   ca   |  10ca  |  f000   | f10ca
   cb   |  10cb  |  f000   | f10cb
   cc   |  10cc  |  f000   | f10cc
   cd   |  10cd  |  f000   | f10cd
   ce   |  10ce  |  f000   | f10ce
   cf   |  10cf  |  f000   | f10cf
   d0   |  10d0  |  f000   | f10d0
   d1   |  10d1  |  f000   | f10d1
   d2   |  10d2  |  f000   | f10d2
   d3   |  10d3  |  f000   | f10d3
   d4   |  10d4  |  f000   | f10d4
   d5   |  10d5  |  f000   | f10d5
   d6   |  10d6  |  f000   | f10d6
   d7   |  10d7  |  f000   | f10d7
   d8   |  10d8  |  f000   | f10d8
   d9   |  10d9  |  f000   | f10d9
   da   |  10da  |  f000   | f10da
   db   |  10db  |  f000   | f10db
   dc   |  10dc  |  f000   | f10dc
   dd   |  10dd  |  f000   | f10dd
   de   |  10de  |  f000   | f10de
   df   |  10df  |  f000   | f10df
   e0   |  10e0  |  f000   | f10e0
   e1   |  10e1  |  f000   | f10e1
   e2   |  10e2  |  f000   | f10e2
   e3   |  10e3  |  f000   | f10e3
   e4   |  10e4  |  f000   | f10e4
   e5   |  10e5  |  f000   | f10e5
   e6   |  10e6  |  f000   | f10e6
   e7   |  10e7  |  f000   | f10e7
