# Image: fd1440-minix.img (1474560 bytes)
# RunResult: {"executed":107917,"reason":"halt-spin-exhausted"}
# Counts: {"instruction":107916,"int":314,"trap":311,"io":981,"memWrite":1072,"intService":1}

## Section 1: Final IDT state (read from memory after boot)
Vector | Offset | Segment | Linear
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0701 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=b000 CX=0703 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0703 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=b400 CX=0705 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0705 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=b800 CX=0707 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0707 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=bc00 CX=0709 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0709 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=c000 CX=070b DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=070b DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=c400 CX=070d DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=070d DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=c800 CX=070f DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=070f DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=cc00 CX=0711 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0711 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=d000 CX=0701 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0701 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=d400 CX=0703 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0703 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=d800 CX=0705 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0705 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=dc00 CX=0707 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0707 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=e000 CX=0709 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0709 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=e400 CX=070b DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=070b DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=e800 CX=070d DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=070d DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=ec00 CX=070f DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=070f DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=f000 CX=0711 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0711 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=f400 CX=0801 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0801 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=f800 CX=0803 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0803 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=fc00 CX=0805 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0805 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=0000 CX=0807 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0807 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=0400 CX=0809 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0809 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=0800 CX=080b DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=080b DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=0c00 CX=080d DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=080d DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=1000 CX=080f DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=080f DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=1400 CX=0811 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0811 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=1800 CX=0801 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0801 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=1c00 CX=0803 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0803 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=2000 CX=0805 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0805 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=2400 CX=0807 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0807 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=2800 CX=0809 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0809 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=2c00 CX=080b DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=080b DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=3000 CX=080d DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=080d DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=3400 CX=080f DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=080f DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=3800 CX=0811 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0811 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=3c00 CX=0901 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0901 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=4000 CX=0903 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0903 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=4400 CX=0905 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0905 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=4800 CX=0907 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0907 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=4c00 CX=0909 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0909 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=5000 CX=090b DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=090b DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=5400 CX=090d DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=090d DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=5800 CX=090f DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=090f DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=5c00 CX=0911 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0911 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=6000 CX=0901 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0901 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=6400 CX=0903 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0903 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=6800 CX=0905 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0905 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=6c00 CX=0907 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0907 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=7000 CX=0909 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0909 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=7400 CX=090b DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=090b DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=7800 CX=090d DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=090d DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=7c00 CX=090f DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=090f DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=8000 CX=0911 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0911 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=8400 CX=0a01 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0a01 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=8800 CX=0a03 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0a03 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=8c00 CX=0a05 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0a05 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=9000 CX=0a07 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0a07 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=9400 CX=0a09 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0a09 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=9800 CX=0a0b DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0a0b DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=9c00 CX=0a0d DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0a0d DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=a000 CX=0a0f DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0a0f DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=a400 CX=0a11 DX=0000
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0a11 DX=0000
  INT  vec=13 from=9000:00fc AX=0202 BX=a800 CX=0a01 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0a01 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=ac00 CX=0a03 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0a03 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=b000 CX=0a05 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0a05 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=b400 CX=0a07 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0a07 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=b800 CX=0a09 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0a09 DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=bc00 CX=0a0b DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0a0b DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=c000 CX=0a0d DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0a0d DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=c400 CX=0a0f DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0a0f DX=0100
  INT  vec=13 from=9000:00fc AX=0202 BX=c800 CX=0a11 DX=0100
  INT  vec=10 from=9000:007f AX=0e2e BX=0007 CX=0a11 DX=0100
  INT  vec=10 from=0120:0365 AX=0e0d BX=0007 CX=0000 DX=2400
  INT  vec=10 from=0120:0365 AX=0e0a BX=0007 CX=0000 DX=2400
  INT  vec=10 from=0120:0365 AX=0e45 BX=0007 CX=0000 DX=2400
  INT  vec=10 from=0120:0365 AX=0e4c BX=0007 CX=0000 DX=2400
  INT  vec=10 from=0120:0365 AX=0e4b BX=0007 CX=0000 DX=2400
  INT  vec=10 from=0120:0365 AX=0e53 BX=0007 CX=0000 DX=2400
  INT  vec=10 from=0120:0365 AX=0e20 BX=0007 CX=0000 DX=2400
  INT  vec=10 from=0120:0365 AX=0e53 BX=0007 CX=0000 DX=2400
  INT  vec=10 from=0120:0365 AX=0e65 BX=0007 CX=0000 DX=2400
  INT  vec=10 from=0120:0365 AX=0e74 BX=0007 CX=0000 DX=2400
  INT  vec=10 from=0120:0365 AX=0e75 BX=0007 CX=0000 DX=2400
  INT  vec=10 from=0120:0365 AX=0e70 BX=0007 CX=0000 DX=2400
  INT  vec=10 from=0120:0365 AX=0e20 BX=0007 CX=0000 DX=2400
  INT  vec=10 from=0120:0333 AX=0f00 BX=0078 CX=0000 DX=2400
  INT  vec=12 from=0120:032e AX=0100 BX=0078 CX=0002 DX=0000
  INT  vec=15 from=0120:034a AX=8800 BX=0078 CX=0002 DX=0000
  INT  vec=10 from=0120:0365 AX=0e2e BX=0007 CX=0006 DX=0000
  INT  vec=10 from=0120:0365 AX=0e2e BX=0007 CX=000a DX=0000
  INT  vec=10 from=0120:0365 AX=0e2e BX=0007 CX=000a DX=0000
  INT  vec=10 from=0120:0365 AX=0e2e BX=0007 CX=000a DX=0000
  INT  vec=10 from=0120:0365 AX=0e2e BX=0007 CX=000a DX=0000
  INT  vec=10 from=0120:0365 AX=0e2e BX=0007 CX=000a DX=0000
  INT  vec=10 from=0120:0365 AX=0e2e BX=0007 CX=000a DX=0000
  INT  vec=10 from=0120:0365 AX=0e2e BX=0007 CX=000a DX=0000
  INT  vec=10 from=0120:0365 AX=0e2e BX=0007 CX=000a DX=0000
  INT  vec=10 from=0120:0365 AX=0e46 BX=0007 CX=000a DX=0000
  INT  vec=10 from=0120:0365 AX=0e48 BX=0007 CX=0000 DX=0000
  INT  vec=12 from=0120:032e AX=0100 BX=00ff CX=0000 DX=0000
  INT  vec=10 from=9000:0365 AX=0e74 BX=0007 CX=0004 DX=0efa
  INT  vec=15 from=9000:0460 AX=2401 BX=0004 CX=0004 DX=0efa
  INT  vec=10 from=9000:0365 AX=0e30 BX=0007 CX=0004 DX=0e03
  INT  vec=10 from=9000:0365 AX=0e33 BX=0007 CX=0004 DX=0e03
  INT  vec=10 from=9000:0365 AX=0e33 BX=0007 CX=0004 DX=0e30
  INT  vec=10 from=9000:0365 AX=0e30 BX=0007 CX=0004 DX=0e30
  INT  vec=10 from=9000:0365 AX=0e20 BX=0007 CX=0004 DX=0efa
  INT  vec=10 from=9000:0365 AX=0e66 BX=0007 CX=7c80 DX=0efa
  INT  vec=10 from=9000:0365 AX=0e31 BX=0007 CX=7c04 DX=0e12
  INT  vec=10 from=9000:0365 AX=0e32 BX=0007 CX=7c04 DX=0e12
  INT  vec=10 from=9000:0365 AX=0e32 BX=0007 CX=7c04 DX=0e2a
  INT  vec=10 from=9000:0365 AX=0e41 BX=0007 CX=7c04 DX=0e2a
  INT  vec=10 from=9000:0365 AX=0e20 BX=0007 CX=7c80 DX=0efa
  INT  vec=10 from=9000:0365 AX=0e64 BX=0007 CX=07c8 DX=0efa
  INT  vec=10 from=9000:0365 AX=0e31 BX=0007 CX=2804 DX=0e19
  INT  vec=10 from=9000:0365 AX=0e39 BX=0007 CX=2804 DX=0e19
  INT  vec=10 from=9000:0365 AX=0e46 BX=0007 CX=2804 DX=0ef2
  INT  vec=10 from=9000:0365 AX=0e32 BX=0007 CX=2804 DX=0ef2
  INT  vec=10 from=9000:0365 AX=0e20 BX=0007 CX=2800 DX=0efa
  INT  vec=10 from=0330:004c AX=0e49 BX=0007 CX=0000 DX=1fc0
  INT  vec=10 from=0330:004c AX=0e4e BX=0007 CX=0000 DX=1fc0
  INT  vec=10 from=0330:004c AX=0e54 BX=0007 CX=0000 DX=1fc0
  INT  vec=10 from=0330:004c AX=0e20 BX=0007 CX=0000 DX=1fc0
  INT  vec=10 from=0330:004c AX=0e66 BX=0007 CX=0000 DX=0003
  INT  vec=10 from=0330:004c AX=0e30 BX=0007 CX=0000 DX=0002
  INT  vec=10 from=0330:004c AX=0e30 BX=0007 CX=0000 DX=0001
  INT  vec=10 from=0330:004c AX=0e32 BX=0007 CX=0000 DX=0000
  INT  vec=10 from=0330:004c AX=0e20 BX=0007 CX=0000 DX=0000
  INT  vec=10 from=0330:004c AX=0e53 BX=0007 CX=0000 DX=0000
  INT  vec=10 from=0330:004c AX=0e54 BX=0007 CX=0000 DX=0000
  INT  vec=10 from=0330:004c AX=0e41 BX=0007 CX=0000 DX=0000
  INT  vec=10 from=0330:004c AX=0e52 BX=0007 CX=0000 DX=0000
  INT  vec=10 from=0330:004c AX=0e54 BX=0007 CX=0000 DX=0000
  INT  vec=10 from=0330:004c AX=0e0d BX=0007 CX=0000 DX=0000
  INT  vec=10 from=0330:004c AX=0e0a BX=0007 CX=0000 DX=0000
  INT  vec=15 from=0330:d8db AX=2401 BX=d88d CX=0008 DX=0001

## Section 4: All trap fires
Total: 311
  TRAP at=f1019 vec=19 AH=00 AL=00 BX=1100 CX=0000 DX=f000 DS=0040 ES=0000
  TRAP at=f1012 vec=12 AH=00 AL=00 BX=1100 CX=0000 DX=f000 DS=0040 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=45 BX=0007 CX=003c DX=f000 DS=9000 ES=9000
  TRAP at=f1010 vec=10 AH=0e AL=4c BX=0007 CX=003c DX=f000 DS=9000 ES=9000
  TRAP at=f1010 vec=10 AH=0e AL=4b BX=0007 CX=003c DX=f000 DS=9000 ES=9000
  TRAP at=f1010 vec=10 AH=0e AL=53 BX=0007 CX=003c DX=f000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=01 BX=0200 CX=0002 DX=0000 DS=9000 ES=9000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0002 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=01 BX=03ec CX=0003 DX=0000 DS=9000 ES=9000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0003 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=07f4 CX=0009 DX=0000 DS=9000 ES=9000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0009 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=13fa CX=0007 DX=0100 DS=9000 ES=9000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0007 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=07f4 CX=0009 DX=0000 DS=9000 ES=9000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0009 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=0500 CX=0409 DX=0100 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0409 DX=0100 DS=9000 ES=9000
  TRAP at=f1010 vec=10 AH=0e AL=2f BX=0007 CX=0409 DX=0000 DS=9000 ES=9000
  TRAP at=f1010 vec=10 AH=0e AL=6c BX=0007 CX=0409 DX=0000 DS=9000 ES=9000
  TRAP at=f1010 vec=10 AH=0e AL=69 BX=0007 CX=0409 DX=0000 DS=9000 ES=9000
  TRAP at=f1010 vec=10 AH=0e AL=6e BX=0007 CX=0409 DX=0000 DS=9000 ES=9000
  TRAP at=f1010 vec=10 AH=0e AL=75 BX=0007 CX=0409 DX=0000 DS=9000 ES=9000
  TRAP at=f1010 vec=10 AH=0e AL=78 BX=0007 CX=0409 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=07f4 CX=0009 DX=0000 DS=9000 ES=9000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0009 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=1000 CX=040b DX=0100 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=040b DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=1400 CX=040d DX=0100 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=040d DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=1800 CX=040f DX=0100 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=040f DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=1c00 CX=0411 DX=0100 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0411 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=2000 CX=0501 DX=0000 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0501 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=2400 CX=0503 DX=0000 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0503 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=2800 CX=0505 DX=0000 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0505 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=0bf6 CX=0509 DX=0000 DS=9000 ES=9000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0509 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=2c00 CX=0507 DX=0000 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0507 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=3000 CX=050b DX=0000 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=050b DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=3400 CX=050d DX=0000 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=050d DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=3800 CX=050f DX=0000 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=050f DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=3c00 CX=0511 DX=0000 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0511 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=4000 CX=0501 DX=0100 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0501 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=4400 CX=0503 DX=0100 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0503 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=4800 CX=0505 DX=0100 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0505 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=4c00 CX=0507 DX=0100 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0507 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=5000 CX=0509 DX=0100 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0509 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=5400 CX=050b DX=0100 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=050b DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=5800 CX=050d DX=0100 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=050d DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=5c00 CX=050f DX=0100 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=050f DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=6000 CX=0511 DX=0100 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0511 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=6400 CX=0601 DX=0000 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0601 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=6800 CX=0603 DX=0000 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0603 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=6c00 CX=0605 DX=0000 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0605 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=7000 CX=0607 DX=0000 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0607 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=7400 CX=0609 DX=0000 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0609 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=7800 CX=060b DX=0000 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=060b DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=7c00 CX=060d DX=0000 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=060d DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=8000 CX=060f DX=0000 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=060f DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=8400 CX=0611 DX=0000 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0611 DX=0000 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=8800 CX=0601 DX=0100 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0601 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=8c00 CX=0603 DX=0100 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0603 DX=0100 DS=9000 ES=9000
  TRAP at=f1013 vec=13 AH=02 AL=02 BX=9000 CX=0605 DX=0100 DS=9000 ES=0000
  TRAP at=f1010 vec=10 AH=0e AL=2e BX=0007 CX=0605 DX=0100 DS=9000 ES=9000
